Age,Gender,Education Level,Job Title,Years of Experience,Work Hours,Industry,Salary
38,Female,12Th,Machine Operator,20,40,Private Sector,27787
19,Male,Diploma,Administrative Assistant,0,50,Private Sector,35400
20,Female,12Th,Professional,2,35,Private Sector,44772
24,Male,Diploma,Service Worker,4,24,Private Sector,32136
30,Male,12Th,Security Officer,12,40,Government,120697
25,Female,Graduation,Administrative Assistant,3,40,Private Sector,28579
21,Male,12Th,Service Worker,3,40,Private Sector,21831
42,Male,12Th,Technician,24,40,Private Sector,38894
53,Male,Diploma,Machine Operator,33,30,Self-Employed,48839
38,Male,Graduation,Professional,16,50,Self-Employed,42075
40,Male,Diploma,Security Officer,20,40,Government,25207
51,Male,12Th,Service Worker,33,40,Private Sector,23038
36,Female,Iti/Diploma,Professional,16,45,Government,79749
21,Female,Diploma,It Support,1,25,Private Sector,30303
49,Male,Graduation,Agricultural Worker,27,65,Self-Employed,24451
52,Female,12Th,Administrative Assistant,34,40,Private Sector,35643
33,Female,Post Graduation,Professional,9,55,Self-Employed,130086
27,Female,Graduation,It Support,5,40,Private Sector,27042
45,Male,Post Graduation,Professional,21,40,Government,147727
45,Male,12Th,Machine Operator,27,48,Private Sector,23846
27,Male,Diploma,Sales Representative,7,40,Private Sector,47356
41,Male,10Th,Service Worker,23,43,Private Sector,24502
30,Male,12Th,Service Worker,12,40,Government,34703
24,Male,Diploma,Sales Representative,4,45,Private Sector,34601
35,Male,12Th,Technician,17,60,Private Sector,142426
48,Female,Diploma,Manager,28,40,Government,34309
42,Male,Post Graduation,Professional,18,80,Self-Employed,58699
46,Male,10Th,Machine Operator,28,40,Private Sector,94672
24,Female,Diploma,Administrative Assistant,4,41,Government,49705
39,Female,Graduation,Professional,17,30,Private Sector,113903
27,Male,Diploma,Manager,7,40,Private Sector,25396
41,Female,12Th,Service Worker,23,30,Private Sector,39976
46,Male,Phd,Professional,18,40,Private Sector,59368
44,Male,Post Graduation,Sales Representative,20,50,Private Sector,129834
43,Female,12Th,Service Worker,25,48,Private Sector,54290
31,Female,Post Graduation,Sales Representative,7,25,Private Sector,53631
18,Male,10Th,Service Worker,0,15,Private Sector,22655
25,Male,Diploma,Other,5,10,Other,43668
31,Male,Diploma,It Support,11,40,Private Sector,110713
38,Female,Post Graduation,Professional,14,20,Private Sector,88595
38,Male,Diploma,Service Worker,18,50,Private Sector,48936
69,Female,10Th,Administrative Assistant,51,17,Government,38634
60,Male,Graduation,Professional,38,40,Government,114781
34,Male,Post Graduation,Machine Operator,10,40,Private Sector,110854
50,Male,Graduation,Administrative Assistant,28,40,Private Sector,120990
31,Male,12Th,Service Worker,13,40,Private Sector,31667
26,Female,Graduation,Sales Representative,4,75,Private Sector,102625
36,Male,Diploma,Sales Representative,16,40,Private Sector,77980
23,Male,12Th,Technician,5,40,Private Sector,42085
18,Female,12Th,Service Worker,0,20,Private Sector,30833
30,Female,Diploma,Service Worker,10,40,Private Sector,46401
54,Female,12Th,Administrative Assistant,36,40,Private Sector,31425
35,Male,12Th,Machine Operator,17,40,Private Sector,39191
58,Female,10Th,Machine Operator,40,40,Private Sector,26736
33,Male,Diploma,Service Worker,13,34,Private Sector,40746
30,Male,12Th,Manager,12,40,Private Sector,43774
21,Male,12Th,Service Worker,3,45,Private Sector,39914
26,Male,12Th,Service Worker,8,40,Private Sector,29370
29,Male,12Th,Service Worker,11,40,Private Sector,27418
45,Male,12Th,Transport Worker,27,40,Private Sector,49748
40,Male,Post Graduation,Manager,16,55,Government,142473
31,Female,12Th,Sales Representative,13,34,Private Sector,38419
47,Female,Post Graduation,Professional,23,40,Private Sector,138162
59,Male,Diploma,Other,39,40,Other,33108
21,Male,Diploma,Other,1,20,Other,48520
45,Male,12Th,Agricultural Worker,27,70,Self-Employed,28581
30,Male,Post Graduation,Manager,6,50,Private Sector,96857
52,Male,Graduation,Sales Representative,30,60,Self-Employed,87273
68,Male,12Th,Security Officer,50,40,Private Sector,30974
66,Male,Graduation,Sales Representative,44,20,Self-Employed,46466
26,Male,Graduation,Sales Representative,4,40,Private Sector,44583
43,Male,Diploma,Technician,23,40,Private Sector,69171
20,Female,12Th,Other,2,40,Other,32527
36,Male,Post Graduation,Manager,12,35,Private Sector,21668
22,Female,Diploma,Other,2,30,Other,43814
21,Male,Diploma,Other,1,45,Other,21656
20,Female,Diploma,Administrative Assistant,0,10,Government,36870
53,Male,12Th,Technician,35,80,Self-Employed,36924
30,Male,Graduation,It Support,8,40,Private Sector,96142
38,Male,Post Graduation,Manager,14,45,Private Sector,63918
21,Female,Diploma,Service Worker,1,20,Private Sector,33502
47,Female,Graduation,Professional,25,50,Government,32528
61,Female,12Th,It Support,43,40,Private Sector,49795
49,Male,Graduation,Professional,27,40,Government,27683
44,Male,Post Graduation,Administrative Assistant,20,50,Private Sector,49951
23,Male,12Th,Administrative Assistant,5,40,Private Sector,39208
49,Male,Diploma,Sales Representative,29,25,Self-Employed,26823
56,Female,12Th,Administrative Assistant,38,40,Government,47080
62,Female,Post Graduation,Manager,38,35,Private Sector,40627
70,Female,12Th,Manager,52,40,Private Sector,118311
18,Male,10Th,Other,0,20,Other,31318
34,Male,10Th,Service Worker,16,40,Private Sector,35300
33,Male,12Th,Service Worker,15,40,Government,23637
25,Male,Iti/Diploma,Technician,5,40,Private Sector,43649
33,Male,10Th,Transport Worker,15,50,Private Sector,32132
21,Female,12Th,Administrative Assistant,3,40,Private Sector,39651
51,Female,10Th,Service Worker,33,40,Private Sector,46262
22,Female,12Th,Other,4,30,Other,45324
45,Male,Graduation,Professional,23,40,Private Sector,108936
35,Male,Graduation,Manager,13,45,Private Sector,147545
33,Male,Diploma,Transport Worker,13,50,Private Sector,104504
28,Female,12Th,Machine Operator,10,25,Private Sector,22218
58,Male,Graduation,Manager,36,55,Self-Employed,101757
64,Male,12Th,Professional,46,60,Self-Employed,119642
37,Female,12Th,Service Worker,19,35,Private Sector,35797
28,Female,12Th,Service Worker,10,30,Private Sector,36221
22,Female,Diploma,Sales Representative,2,25,Private Sector,48026
59,Female,12Th,Administrative Assistant,41,40,Private Sector,37092
35,Female,10Th,Service Worker,17,60,Private Sector,22158
46,Male,Graduation,Service Worker,24,40,Private Sector,41820
31,Female,Graduation,Administrative Assistant,9,40,Private Sector,33195
23,Male,12Th,Military Personnel,5,40,Government,25247
70,Male,Post Graduation,Professional,52,25,Private Sector,149276
46,Male,Graduation,Administrative Assistant,24,40,Government,116975
50,Male,12Th,Service Worker,32,30,Private Sector,24316
26,Male,Iti/Diploma,Technician,6,50,Private Sector,40067
19,Female,12Th,Administrative Assistant,1,24,Private Sector,36886
35,Male,12Th,Technician,17,56,Private Sector,46455
61,Male,12Th,Security Officer,43,36,Private Sector,42104
41,Male,Graduation,Manager,19,40,Private Sector,49233
31,Male,Graduation,Professional,9,40,Private Sector,79896
32,Male,12Th,Manager,14,40,Private Sector,24761
41,Male,Post Graduation,Manager,17,50,Government,63090
38,Male,12Th,Professional,20,60,Private Sector,24368
58,Female,Graduation,Professional,36,40,Government,22370
18,Male,12Th,Other,0,20,Other,32884
62,Female,10Th,Machine Operator,44,35,Private Sector,25362
25,Female,12Th,Service Worker,7,40,Self-Employed,38297
34,Female,Post Graduation,Professional,10,40,Government,44851
23,Female,Iti/Diploma,Sales Representative,3,12,Private Sector,31915
18,Male,12Th,Other,0,40,Other,49539
61,Male,10Th,Other,43,40,Other,38826
36,Male,12Th,Service Worker,18,40,Private Sector,34292
47,Male,Diploma,Technician,27,40,Government,40819
46,Female,10Th,Sales Representative,28,30,Private Sector,48388
23,Female,12Th,Service Worker,5,40,Private Sector,32758
28,Male,Graduation,Sales Representative,6,42,Private Sector,44453
23,Male,Graduation,Sales Representative,1,45,Private Sector,29680
31,Male,Diploma,Administrative Assistant,11,45,Private Sector,82462
49,Female,12Th,Administrative Assistant,31,40,Government,111894
33,Male,Diploma,Machine Operator,13,40,Private Sector,37467
27,Male,Diploma,Technician,7,49,Private Sector,27230
33,Male,10Th,Machine Operator,15,40,Private Sector,49898
35,Female,Graduation,Professional,13,40,Government,44670
19,Male,Diploma,Service Worker,0,16,Private Sector,33789
31,Male,12Th,Sales Representative,13,40,Private Sector,24486
55,Female,Diploma,Service Worker,35,40,Private Sector,25050
33,Female,12Th,Sales Representative,15,40,Private Sector,41628
67,Female,Graduation,Other,45,16,Other,67793
19,Male,Diploma,Service Worker,0,35,Government,37530
25,Male,12Th,Machine Operator,7,40,Private Sector,33414
38,Female,12Th,Service Worker,20,10,Private Sector,34057
39,Male,Graduation,Manager,17,40,Private Sector,143506
70,Male,Post Graduation,Other,52,25,Other,41106
43,Female,12Th,Administrative Assistant,25,40,Private Sector,39556
30,Male,12Th,Professional,12,35,Private Sector,40397
41,Male,10Th,Machine Operator,23,40,Private Sector,43469
60,Female,12Th,Technician,42,40,Private Sector,27105
38,Male,Graduation,Technician,16,35,Self-Employed,65839
20,Female,12Th,Sales Representative,2,30,Private Sector,38508
34,Male,Diploma,Administrative Assistant,14,40,Private Sector,33035
18,Male,10Th,Service Worker,0,40,Private Sector,29734
45,Male,Graduation,Manager,23,45,Private Sector,144178
31,Female,Post Graduation,Manager,7,40,Private Sector,22726
54,Female,Diploma,Administrative Assistant,34,55,Government,124951
41,Male,12Th,Administrative Assistant,23,30,Self-Employed,42191
19,Female,12Th,Service Worker,1,40,Private Sector,27643
51,Female,12Th,Administrative Assistant,33,40,Private Sector,25758
42,Female,12Th,Technician,24,40,Self-Employed,35369
63,Male,10Th,Technician,45,40,Government,44027
35,Female,12Th,Service Worker,17,20,Private Sector,38780
19,Male,Diploma,Sales Representative,0,15,Private Sector,49455
29,Male,Diploma,Administrative Assistant,9,40,Private Sector,38303
58,Female,12Th,Service Worker,40,43,Private Sector,49681
37,Female,Graduation,Service Worker,15,48,Self-Employed,45961
28,Male,Graduation,Sales Representative,6,40,Private Sector,141096
52,Male,10Th,Technician,34,45,Private Sector,25303
51,Male,12Th,Transport Worker,33,40,Private Sector,25336
34,Female,Diploma,Other,14,40,Other,23480
28,Male,Diploma,Administrative Assistant,8,40,Private Sector,20659
43,Male,Diploma,Service Worker,23,40,Private Sector,39628
32,Female,Graduation,Technician,10,40,Private Sector,59601
40,Female,Diploma,Manager,20,40,Private Sector,90805
35,Male,10Th,Administrative Assistant,17,40,Private Sector,26562
44,Male,Diploma,Administrative Assistant,24,40,Government,33836
56,Male,Diploma,Service Worker,36,45,Private Sector,140182
44,Male,Diploma,Service Worker,24,10,Private Sector,49664
27,Male,Diploma,Service Worker,7,38,Private Sector,20787
56,Female,Diploma,Other,36,35,Other,27803
52,Female,Graduation,Professional,30,40,Government,26758
27,Female,Graduation,Administrative Assistant,5,40,Government,20738
35,Male,Iti/Diploma,Technician,15,80,Self-Employed,106749
32,Male,Diploma,Technician,12,40,Private Sector,29726
34,Male,Diploma,Machine Operator,14,80,Private Sector,67239
34,Male,12Th,Machine Operator,16,40,Private Sector,40199
31,Female,Diploma,Administrative Assistant,11,40,Private Sector,35233
55,Male,Graduation,Manager,33,40,Government,73899
45,Female,12Th,Manager,27,38,Private Sector,39544
43,Male,Graduation,Sales Representative,21,40,Private Sector,133890
38,Male,Graduation,Administrative Assistant,16,40,Government,100648
56,Female,10Th,Service Worker,38,40,Private Sector,26504
40,Male,Iti/Diploma,Security Officer,20,60,Private Sector,39900
55,Female,12Th,Manager,37,40,Self-Employed,43416
52,Female,Post Graduation,Professional,28,44,Private Sector,139903
28,Female,10Th,Machine Operator,10,40,Private Sector,24646
19,Female,12Th,Security Officer,1,36,Government,27554
19,Male,12Th,Technician,1,35,Private Sector,24759
24,Male,Diploma,Security Officer,4,24,Private Sector,48631
48,Male,12Th,Sales Representative,30,48,Private Sector,39739
29,Male,Iti/Diploma,It Support,9,40,Private Sector,22809
54,Female,Diploma,Sales Representative,34,20,Private Sector,41724
26,Male,Diploma,Sales Representative,6,40,Private Sector,123603
58,Male,Diploma,Sales Representative,38,60,Private Sector,137496
37,Male,Post Graduation,Professional,13,50,Self-Employed,92973
41,Male,12Th,Transport Worker,23,40,Private Sector,48205
65,Female,Diploma,Machine Operator,45,20,Private Sector,31375
43,Male,10Th,Service Worker,25,40,Private Sector,27236
33,Male,Graduation,Sales Representative,11,40,Private Sector,66761
55,Male,12Th,Administrative Assistant,37,46,Government,118427
32,Male,12Th,Sales Representative,14,46,Private Sector,79873
56,Male,12Th,Technician,38,40,Self-Employed,28177
29,Male,Iti/Diploma,Technician,9,40,Private Sector,20200
34,Female,12Th,Service Worker,16,20,Government,35906
39,Male,12Th,Manager,21,50,Self-Employed,25341
56,Male,12Th,Technician,38,40,Government,49886
33,Female,Graduation,Administrative Assistant,11,10,Private Sector,28726
51,Male,10Th,Machine Operator,33,30,Private Sector,23500
47,Male,Graduation,Technician,25,50,Private Sector,130941
22,Male,12Th,Service Worker,4,40,Private Sector,41057
58,Male,12Th,Service Worker,40,80,Government,133909
25,Male,12Th,Technician,7,40,Private Sector,37930
34,Male,12Th,Technician,16,40,Private Sector,145834
34,Male,Graduation,Sales Representative,12,50,Self-Employed,51103
35,Female,12Th,It Support,17,40,Private Sector,42114
36,Male,Diploma,Technician,16,40,Private Sector,106647
70,Male,Diploma,Other,50,24,Other,27144
41,Female,12Th,Service Worker,23,60,Private Sector,29383
46,Male,Graduation,Professional,24,50,Private Sector,93064
38,Male,Graduation,Professional,16,35,Self-Employed,71456
47,Male,Graduation,It Support,25,38,Private Sector,70927
43,Male,10Th,Transport Worker,25,40,Self-Employed,31248
39,Male,12Th,Transport Worker,21,45,Private Sector,105403
29,Male,Graduation,Professional,7,40,Private Sector,137594
47,Female,Graduation,Manager,25,60,Private Sector,57356
37,Male,Diploma,Manager,17,40,Private Sector,43322
19,Female,Diploma,Manager,0,30,Private Sector,34307
67,Female,10Th,Administrative Assistant,49,20,Private Sector,46077
40,Male,Graduation,Manager,18,40,Private Sector,146348
53,Male,12Th,Technician,35,40,Government,42634
31,Male,12Th,Transport Worker,13,37,Private Sector,34739
56,Male,12Th,Security Officer,38,38,Private Sector,33724
47,Female,12Th,Sales Representative,29,40,Private Sector,33179
37,Male,12Th,Sales Representative,19,50,Private Sector,44272
31,Male,12Th,Sales Representative,13,40,Private Sector,70896
42,Female,Diploma,Other,22,14,Other,42394
44,Female,Diploma,Technician,24,55,Private Sector,30384
33,Male,Diploma,Manager,13,40,Private Sector,97378
22,Male,Diploma,Administrative Assistant,2,35,Private Sector,46257
52,Male,12Th,Machine Operator,34,40,Private Sector,21527
33,Male,Graduation,Sales Representative,11,43,Private Sector,23071
31,Male,Iti/Diploma,Technician,11,40,Private Sector,24093
70,Male,12Th,Service Worker,52,40,Government,43036
50,Male,12Th,Administrative Assistant,32,40,Private Sector,41616
36,Male,12Th,Technician,18,40,Private Sector,37249
58,Female,Iti/Diploma,Administrative Assistant,38,40,Government,29234
20,Male,10Th,Technician,2,40,Self-Employed,36606
36,Female,Diploma,Professional,16,32,Government,48538
26,Female,Iti/Diploma,Administrative Assistant,6,40,Private Sector,46497
58,Female,Post Graduation,Manager,34,40,Government,28539
57,Female,12Th,Administrative Assistant,39,45,Private Sector,47005
46,Male,Post Graduation,Manager,22,50,Self-Employed,99571
29,Female,Post Graduation,Manager,5,42,Private Sector,25466
42,Male,Post Graduation,Professional,18,40,Self-Employed,93600
34,Male,Diploma,Service Worker,14,40,Private Sector,52682
57,Male,Diploma,Transport Worker,37,50,Private Sector,33449
35,Male,Graduation,Security Officer,13,40,Government,27641
36,Male,Diploma,Security Officer,16,56,Government,30740
46,Male,Graduation,Sales Representative,24,40,Private Sector,35836
39,Male,12Th,Transport Worker,21,50,Private Sector,20484
25,Male,12Th,Machine Operator,7,65,Self-Employed,25199
43,Male,Diploma,Machine Operator,23,40,Private Sector,114616
26,Male,12Th,Service Worker,8,40,Private Sector,24516
46,Male,Post Graduation,Manager,22,60,Government,132211
27,Male,12Th,Technician,9,40,Private Sector,46845
35,Male,12Th,Technician,17,40,Private Sector,27084
68,Male,12Th,Sales Representative,50,24,Self-Employed,87216
52,Female,Diploma,It Support,32,36,Private Sector,45038
26,Male,Iti/Diploma,Manager,6,50,Private Sector,38027
27,Male,Diploma,Technician,7,46,Private Sector,27591
52,Male,Post Graduation,Sales Representative,28,40,Private Sector,141512
54,Female,10Th,Administrative Assistant,36,40,Private Sector,43799
29,Male,12Th,Transport Worker,11,40,Private Sector,31480
39,Female,Diploma,Sales Representative,19,40,Private Sector,44768
38,Male,Diploma,Manager,18,45,Private Sector,114528
19,Male,12Th,Transport Worker,1,30,Private Sector,32704
22,Male,Diploma,Technician,2,40,Private Sector,36440
58,Male,Diploma,Sales Representative,38,60,Private Sector,142539
39,Female,Iti/Diploma,Administrative Assistant,19,40,Private Sector,25139
20,Male,Diploma,Professional,0,40,Government,34962
26,Female,Diploma,Administrative Assistant,6,40,Private Sector,32392
22,Male,12Th,Service Worker,4,45,Private Sector,43539
31,Male,Iti/Diploma,Security Officer,11,40,Government,29214
42,Male,Graduation,Sales Representative,20,40,Private Sector,86603
53,Male,12Th,Service Worker,35,40,Government,37666
32,Male,12Th,Technician,14,40,Private Sector,24608
33,Female,12Th,Service Worker,15,40,Private Sector,29082
36,Female,Post Graduation,Professional,12,40,Private Sector,84454
39,Male,12Th,Machine Operator,21,40,Private Sector,29039
33,Male,Diploma,Administrative Assistant,13,40,Private Sector,25980
33,Male,12Th,Technician,15,35,Private Sector,43763
47,Female,Graduation,Sales Representative,25,40,Private Sector,25730
31,Male,Iti/Diploma,It Support,11,40,Private Sector,41077
18,Female,12Th,Sales Representative,0,16,Private Sector,47636
51,Male,12Th,Sales Representative,33,16,Private Sector,43968
34,Female,Graduation,Manager,12,38,Government,38119
39,Female,Diploma,Service Worker,19,48,Private Sector,40392
42,Male,Diploma,Technician,22,35,Private Sector,107523
18,Male,10Th,Other,0,10,Other,46906
27,Male,10Th,Technician,9,40,Private Sector,21398
20,Male,Diploma,Other,0,35,Other,45942
33,Female,Post Graduation,Professional,9,40,Private Sector,39613
62,Male,Post Graduation,Other,38,48,Other,62538
27,Male,Diploma,Security Officer,7,40,Private Sector,28060
45,Male,Graduation,Manager,23,50,Self-Employed,61661
19,Male,12Th,Sales Representative,1,20,Private Sector,44001
40,Female,12Th,Manager,22,40,Government,52216
43,Male,12Th,Transport Worker,25,40,Government,28107
60,Male,12Th,Technician,42,35,Private Sector,54480
42,Male,Diploma,Sales Representative,22,50,Private Sector,32489
28,Male,12Th,Administrative Assistant,10,40,Private Sector,45103
50,Male,Diploma,Transport Worker,30,60,Private Sector,118771
27,Male,12Th,Technician,9,45,Private Sector,47414
25,Male,12Th,Transport Worker,7,40,Private Sector,30889
53,Male,12Th,Professional,35,43,Private Sector,80079
24,Male,12Th,Service Worker,6,40,Private Sector,44877
40,Male,10Th,Technician,22,40,Private Sector,42796
28,Male,12Th,It Support,10,60,Private Sector,41211
36,Male,12Th,Other,18,25,Other,26391
46,Male,Graduation,Sales Representative,24,60,Self-Employed,132965
19,Female,Diploma,Administrative Assistant,0,40,Private Sector,20549
23,Female,Diploma,It Support,3,40,Private Sector,23329
55,Male,12Th,Service Worker,37,40,Private Sector,26026
48,Male,10Th,Technician,30,40,Private Sector,47539
45,Male,12Th,Technician,27,40,Private Sector,42986
55,Male,Graduation,Manager,33,40,Government,120920
36,Male,Iti/Diploma,It Support,16,50,Private Sector,33653
35,Female,12Th,Service Worker,17,31,Private Sector,25434
31,Male,12Th,Technician,13,50,Private Sector,144491
18,Male,12Th,Administrative Assistant,0,10,Private Sector,29763
31,Female,Iti/Diploma,Professional,11,40,Private Sector,148755
51,Female,Graduation,Administrative Assistant,29,40,Private Sector,24173
20,Male,12Th,Sales Representative,2,40,Self-Employed,35735
32,Male,10Th,Technician,14,16,Self-Employed,38926
34,Male,12Th,Technician,16,40,Government,40671
37,Male,12Th,Transport Worker,19,45,Private Sector,39675
55,Male,12Th,Sales Representative,37,35,Self-Employed,44084
32,Male,Iti/Diploma,Technician,12,50,Self-Employed,29692
49,Male,12Th,Service Worker,31,48,Private Sector,34889
54,Female,12Th,Administrative Assistant,36,40,Private Sector,107661
62,Male,Graduation,Manager,40,40,Government,121133
18,Female,12Th,Manager,0,35,Private Sector,30140
49,Male,Diploma,It Support,29,40,Private Sector,116982
26,Male,10Th,Agricultural Worker,8,40,Private Sector,28587
59,Male,Graduation,Professional,37,20,Self-Employed,139505
48,Male,12Th,Service Worker,30,40,Government,48937
21,Female,Diploma,Service Worker,1,11,Government,37889
31,Male,Diploma,Sales Representative,11,60,Private Sector,142370
37,Male,Diploma,Technician,17,40,Private Sector,28909
38,Male,12Th,Agricultural Worker,20,60,Private Sector,28524
28,Female,Iti/Diploma,Administrative Assistant,8,10,Private Sector,31542
39,Male,12Th,Manager,21,50,Self-Employed,44357
30,Female,Graduation,Sales Representative,8,35,Private Sector,134571
70,Male,Graduation,Sales Representative,49,20,Self-Employed,36055
37,Male,12Th,Transport Worker,19,60,Self-Employed,102169
53,Female,12Th,Sales Representative,35,40,Private Sector,44843
39,Male,Graduation,Professional,17,40,Private Sector,138991
34,Male,Iti/Diploma,Service Worker,14,35,Private Sector,25207
34,Male,12Th,Transport Worker,16,62,Self-Employed,46966
21,Male,Diploma,Sales Representative,1,40,Private Sector,40797
53,Male,Diploma,Transport Worker,33,60,Private Sector,100242
46,Male,Post Graduation,Professional,22,40,Government,144060
23,Female,Graduation,Administrative Assistant,1,10,Private Sector,45456
50,Female,Iti/Diploma,Service Worker,30,20,Private Sector,40082
30,Male,12Th,Administrative Assistant,12,40,Private Sector,26264
32,Male,12Th,Technician,14,50,Private Sector,47550
23,Male,Graduation,Manager,1,30,Private Sector,26397
53,Male,Post Graduation,Manager,29,35,Self-Employed,65116
41,Female,Post Graduation,Professional,17,45,Private Sector,45638
42,Male,Graduation,Sales Representative,20,50,Private Sector,143285
38,Male,12Th,Transport Worker,20,65,Private Sector,34432
45,Male,12Th,Technician,27,44,Private Sector,30875
56,Female,Diploma,Administrative Assistant,36,40,Private Sector,31295
36,Male,Graduation,Professional,14,40,Private Sector,55089
65,Male,12Th,Technician,47,40,Private Sector,27774
41,Male,Graduation,Manager,19,50,Private Sector,97476
42,Female,10Th,Machine Operator,24,40,Private Sector,21216
43,Male,Graduation,Professional,21,50,Private Sector,99363
22,Male,12Th,Technician,4,60,Private Sector,41862
51,Male,Graduation,Manager,29,37,Private Sector,79347
21,Female,12Th,Service Worker,3,30,Private Sector,29208
32,Female,Diploma,Manager,12,55,Private Sector,23506
19,Male,Diploma,Service Worker,0,40,Private Sector,30678
53,Male,12Th,It Support,35,39,Private Sector,124281
43,Male,10Th,Technician,25,50,Private Sector,96178
18,Female,10Th,Sales Representative,0,30,Private Sector,29450
46,Male,Post Graduation,Manager,22,50,Government,110546
45,Male,Graduation,Professional,23,50,Government,59031
52,Male,12Th,Service Worker,34,40,Private Sector,40314
37,Male,Iti/Diploma,Transport Worker,17,50,Self-Employed,25404
18,Male,12Th,Service Worker,0,20,Private Sector,36923
53,Female,Graduation,Sales Representative,31,40,Private Sector,45198
45,Male,Post Graduation,Professional,21,40,Government,104460
37,Female,12Th,Technician,19,40,Private Sector,45039
19,Male,12Th,Sales Representative,1,43,Private Sector,48654
25,Male,Diploma,Manager,5,40,Private Sector,31036
57,Male,Post Graduation,Manager,33,40,Private Sector,40974
19,Female,Diploma,Service Worker,0,40,Private Sector,27589
45,Male,Diploma,Professional,25,50,Private Sector,76029
54,Male,12Th,Sales Representative,36,50,Self-Employed,32739
29,Female,Diploma,Service Worker,9,34,Private Sector,36304
32,Male,12Th,Transport Worker,14,60,Private Sector,33090
49,Female,12Th,Administrative Assistant,31,40,Private Sector,27051
34,Male,Post Graduation,Manager,10,60,Private Sector,60832
46,Female,Post Graduation,Professional,22,35,Government,37840
43,Female,10Th,Service Worker,25,40,Private Sector,35707
32,Male,Post Graduation,Professional,8,55,Government,145257
58,Male,Iti/Diploma,Other,38,40,Other,27397
67,Male,10Th,Security Officer,49,40,Private Sector,40797
24,Male,12Th,Technician,6,40,Private Sector,40628
19,Female,Diploma,Other,0,25,Other,27429
42,Male,Graduation,Technician,20,50,Self-Employed,86716
32,Male,Diploma,Technician,12,40,Private Sector,46978
59,Male,10Th,Machine Operator,41,40,Private Sector,48607
34,Male,Diploma,Administrative Assistant,14,60,Private Sector,42894
24,Female,12Th,Manager,6,40,Private Sector,45271
21,Female,Diploma,Administrative Assistant,1,12,Private Sector,46118
36,Female,Diploma,Sales Representative,16,40,Private Sector,31640
38,Female,12Th,Other,20,10,Other,44851
53,Female,Graduation,Professional,31,50,Private Sector,75180
24,Male,Diploma,Sales Representative,4,40,Self-Employed,37969
38,Female,Diploma,It Support,18,50,Government,28572
51,Male,Diploma,Manager,31,40,Private Sector,45394
42,Male,Diploma,Technician,22,50,Private Sector,114762
22,Female,Diploma,Administrative Assistant,2,30,Private Sector,28426
53,Female,Diploma,Administrative Assistant,33,40,Private Sector,22728
51,Male,12Th,Machine Operator,33,48,Private Sector,103758
65,Male,Post Graduation,It Support,41,40,Self-Employed,24790
40,Male,12Th,Technician,22,50,Private Sector,24574
39,Male,Iti/Diploma,Administrative Assistant,19,40,Private Sector,147131
54,Male,12Th,Technician,36,45,Private Sector,45003
24,Male,12Th,Service Worker,6,40,Private Sector,34023
32,Male,12Th,Transport Worker,14,40,Government,25968
40,Female,Graduation,Professional,18,40,Government,46503
36,Male,Graduation,Manager,14,55,Private Sector,63271
47,Male,12Th,Other,29,40,Other,30465
40,Female,Graduation,Professional,18,40,Government,34894
41,Male,Graduation,Professional,19,40,Private Sector,92509
38,Male,12Th,Technician,20,40,Private Sector,22989
36,Female,Diploma,Manager,16,70,Self-Employed,33450
64,Female,12Th,Machine Operator,46,40,Private Sector,29054
47,Female,10Th,Service Worker,29,38,Private Sector,48686
22,Female,Diploma,Administrative Assistant,2,20,Private Sector,37778
48,Female,Iti/Diploma,It Support,28,40,Private Sector,39749
45,Male,12Th,Sales Representative,27,70,Private Sector,22396
58,Female,12Th,It Support,40,40,Government,46633
48,Male,Iti/Diploma,Service Worker,28,40,Private Sector,41386
49,Female,12Th,Administrative Assistant,31,45,Private Sector,26655
34,Male,12Th,Technician,16,40,Government,31605
43,Female,Graduation,Professional,21,40,Government,100663
50,Female,12Th,Service Worker,32,30,Government,30564
31,Female,Diploma,Administrative Assistant,11,55,Private Sector,31951
31,Male,12Th,Service Worker,13,40,Private Sector,46613
57,Male,12Th,Transport Worker,39,40,Private Sector,30376
33,Male,Diploma,Technician,13,56,Self-Employed,56388
52,Male,12Th,Service Worker,34,32,Private Sector,27056
43,Male,Graduation,Sales Representative,21,40,Self-Employed,76852
30,Female,Graduation,Service Worker,8,60,Private Sector,38826
54,Male,12Th,Technician,36,40,Private Sector,33974
36,Male,Graduation,Manager,14,40,Private Sector,121709
43,Female,12Th,Manager,25,47,Private Sector,63701
35,Male,Graduation,Transport Worker,13,40,Private Sector,32118
56,Female,12Th,Service Worker,38,37,Private Sector,27828
34,Male,Post Graduation,Professional,10,50,Self-Employed,28137
19,Male,12Th,Other,1,40,Other,27870
51,Male,12Th,Service Worker,33,35,Private Sector,49340
39,Male,Graduation,Transport Worker,17,50,Private Sector,144550
59,Female,12Th,Administrative Assistant,41,38,Private Sector,39254
46,Male,12Th,Transport Worker,28,48,Self-Employed,33720
39,Male,10Th,Transport Worker,21,40,Private Sector,21102
67,Male,Diploma,Sales Representative,47,40,Private Sector,46909
38,Male,Diploma,It Support,18,42,Private Sector,24263
70,Male,10Th,Other,52,40,Other,43047
22,Female,Diploma,Administrative Assistant,2,40,Government,39453
30,Male,Graduation,Sales Representative,8,40,Private Sector,122921
39,Male,12Th,Manager,21,40,Other,36449
21,Female,Diploma,Other,1,40,Other,37052
